# old_node_id  xy_node_id  cell_id  hop_distance
205453141 3590 54 3
11587767844 22149 54 3
206385868 4010 54 3
206386206 4014 54 3
206387578 4027 54 3
1349664106 14265 54 3
30761314 343 55 3
51242048 770 55 3
30624040 253 55 3
11409166815 22115 56 3
296235627 8413 56 3
270160580 7734 57 3
270160572 7732 57 3
270160602 7737 57 3
4105855438 19500 57 3
145901742 2046 57 3
1617177698 15303 57 3
3523398677 19062 58 3
139464866 1880 58 3
1494113204 14775 58 3
626836943 12163 58 3
139458532 1873 58 3
130044705 1572 59 3
1979248155 17001 59 3
1834651078 16269 60 3
206161032 3807 60 3
206304341 3964 60 3
895738183 13210 60 3
206217543 3843 60 3
1027183337 13656 61 3
268399281 7581 61 3
268399082 7580 61 3
268399285 7583 61 3
366144953 10149 61 3
61101180 882 61 3
114277888 1281 61 3
112413017 1271 61 3
449221552 11002 62 3
5554789043 20187 62 3
654033874 12283 62 3
3673743983 19183 62 3
449219410 10991 62 3
449223299 11003 62 3
654033862 12281 62 3
3673744010 19185 62 3
100295365 1049 63 3
315035483 9319 63 3
7411254935 20982 64 3
1869644368 16843 64 3
6337846068 20538 64 3
5308387710 20058 65 3
494627382 11408 65 3
503554702 11575 65 3
503554509 11573 65 3
